cityId,city,districts
01,台北市,Top
0101,台北市,松山區
0102,台北市,大安區
0109,台北市,大同區
0110,台北市,中山區
0111,台北市,內湖區
0112,台北市,南港區
0115,台北市,士林區
0116,台北市,北投區
0117,台北市,信義區
0118,台北市,中正區
0119,台北市,萬華區
0120,台北市,文山區
03,台中市,Top
0301,台中市,豐原區
0302,台中市,東勢區
0303,台中市,大甲區
0304,台中市,清水區
0305,台中市,沙鹿區
0306,台中市,梧棲區
0307,台中市,后里區
0308,台中市,神岡區
0309,台中市,潭子區
0310,台中市,大雅區
0311,台中市,新社區
0312,台中市,石岡區
0313,台中市,外埔區
0314,台中市,大安區
0315,台中市,烏日區
0316,台中市,大肚區
0317,台中市,龍井區
0318,台中市,霧峰區
0319,台中市,太平區
0320,台中市,大里區
0321,台中市,和平區
0322,台中市,中區
0323,台中市,東區
0324,台中市,西區
0325,台中市,南區
0326,台中市,北區
0327,台中市,西屯區
0328,台中市,南屯區
0329,台中市,北屯區
05,台南市,Top
0501,台南市,新營區
0502,台南市,鹽水區
0503,台南市,白河區
0504,台南市,麻豆區
0505,台南市,佳里區
0506,台南市,新化區
0507,台南市,善化區
0508,台南市,學甲區
0509,台南市,柳營區
0510,台南市,後壁區
0511,台南市,東山區
0512,台南市,下營區
0513,台南市,六甲區
0514,台南市,官田區
0515,台南市,大內區
0516,台南市,西港區
0517,台南市,七股區
0518,台南市,將軍區
0519,台南市,北門區
0520,台南市,新市區
0521,台南市,安定區
0522,台南市,山上區
0523,台南市,玉井區
0524,台南市,楠西區
0525,台南市,南化區
0526,台南市,左鎮區
0527,台南市,仁德區
0528,台南市,歸仁區
0529,台南市,關廟區
0530,台南市,龍崎區
0531,台南市,永康區
0532,台南市,東區
0533,台南市,南區
0534,台南市,中西區
0535,台南市,北區
0537,台南市,安南區
0538,台南市,安平區
07,高雄市,Top
0701,高雄市,鳳山區
0702,高雄市,岡山區
0703,高雄市,旗山區
0704,高雄市,美濃區
0705,高雄市,林園區
0706,高雄市,大寮區
0707,高雄市,大樹區
0708,高雄市,仁武區
0709,高雄市,大社區
0710,高雄市,鳥松區
0711,高雄市,橋頭區
0712,高雄市,燕巢區
0713,高雄市,田寮區
0714,高雄市,阿蓮區
0715,高雄市,路竹區
0716,高雄市,湖內區
0717,高雄市,茄萣區
0718,高雄市,永安區
0719,高雄市,彌陀區
0720,高雄市,梓官區
0721,高雄市,六龜區
0722,高雄市,甲仙區
0723,高雄市,杉林區
0724,高雄市,內門區
0725,高雄市,茂林區
0726,高雄市,桃源區
0727,高雄市,那瑪區
0728,高雄市,鹽埕區
0729,高雄市,鼓山區
0730,高雄市,左營區
0731,高雄市,楠梓區
0732,高雄市,三民區
0733,高雄市,新興區
0734,高雄市,前金區
0735,高雄市,苓雅區
0736,高雄市,前鎮區
0737,高雄市,旗津區
0738,高雄市,小港區
11,基隆市,Top
1101,基隆市,中正區
1102,基隆市,七堵區
1103,基隆市,暖暖區
1104,基隆市,仁愛區
1105,基隆市,中山區
1106,基隆市,安樂區
1107,基隆市,信義區
12,新竹市,Top
1201,新竹市,東區
1204,新竹市,北區
1205,新竹市,香山區
22,嘉義市,Top
2201,嘉義市,東區
2202,嘉義市,西區
31,新北市,Top
3101,新北市,板橋區
3102,新北市,三重區
3103,新北市,永和區
3104,新北市,中和區
3105,新北市,新店區
3106,新北市,新莊區
3107,新北市,樹林區
3108,新北市,鶯歌區
3109,新北市,三峽區
3110,新北市,淡水區
3111,新北市,汐止區
3112,新北市,瑞芳區
3113,新北市,土城區
3114,新北市,蘆洲區
3115,新北市,五股區
3116,新北市,泰山區
3117,新北市,林口區
3118,新北市,深坑區
3119,新北市,石碇區
3120,新北市,坪林區
3121,新北市,三芝區
3122,新北市,石門區
3123,新北市,八里區
3124,新北市,平溪區
3125,新北市,雙溪區
3126,新北市,貢寮區
3127,新北市,金山區
3128,新北市,萬里區
3129,新北市,烏來區
32,桃園市,Top
3201,桃園市,桃園區
3202,桃園市,中壢區
3203,桃園市,大溪區
3204,桃園市,楊梅區
3205,桃園市,蘆竹區
3206,桃園市,大園區
3207,桃園市,龜山區
3208,桃園市,八德區
3209,桃園市,龍潭區
3210,桃園市,平鎮區
3211,桃園市,新屋區
3212,桃園市,觀音區
3213,桃園市,復興區
33,新竹縣,Top
3301,新竹縣,關西鎮
3302,新竹縣,新埔鎮
